ip,query,malware_name,tag,port,country,org,isp,hostnames,first_seen,last_seen,projectlabel
178.128.174.174,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United Kingdom,"DigitalOcean, LLC","DigitalOcean, LLC",,2025-02-14,2025-02-14,CTI-IOA
101.32.126.38,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Singapore,ACEVILLE PTE.LTD.,"Tencent Building, Kejizhongyi Avenue",,2025-02-14,2025-02-14,CTI-IOA
156.238.243.161,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",8443,Hong Kong,"High Family Technology Co., Limited","High Family Technology Co., Limited",,2025-02-14,2025-02-14,CTI-IOA
148.66.22.195,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Hong Kong,SIMCENTRIC-HK NETBLOCK,Netsec Limited,,2025-02-14,2025-02-14,CTI-IOA
107.172.217.43,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United States,RackNerd LLC,HostPapa,107-172-217-43-host.colocrossing.com,2025-02-14,2025-02-14,CTI-IOA
139.180.157.217,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Singapore,"The Constant Company, LLC","The Constant Company, LLC",139.180.157.217.vultrusercontent.com,2025-02-14,2025-02-14,CTI-IOA
118.178.89.212,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",4434,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
121.4.36.95,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
121.36.222.101,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-121-36-222-101.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
3.8.88.229,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United Kingdom,Amazon Data Services UK,"Amazon.com, Inc.",ec2-3-8-88-229.eu-west-2.compute.amazonaws.com,2025-02-14,2025-02-14,CTI-IOA
3.94.161.68,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United States,Amazon Data Services NoVa,"Amazon.com, Inc.",ec2-3-94-161-68.compute-1.amazonaws.com,2025-02-14,2025-02-14,CTI-IOA
68.221.205.139,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Spain,Microsoft Corporation,Microsoft Corporation,,2025-02-14,2025-02-14,CTI-IOA
95.179.208.125,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,France,"The Constant Company, LLC.","The Constant Company, LLC",95.179.208.125.vultrusercontent.com,2025-02-14,2025-02-14,CTI-IOA
188.166.149.250,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United Kingdom,"DigitalOcean, LLC","DigitalOcean, LLC",,2025-02-14,2025-02-14,CTI-IOA
3.133.128.158,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United States,Amazon Technologies Inc.,"Amazon.com, Inc.",ec2-3-133-128-158.us-east-2.compute.amazonaws.com,2025-02-14,2025-02-14,CTI-IOA
124.221.177.165,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
103.27.186.188,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",8443,Japan,Haixing Cloud,Starry Network Limited,,2025-02-14,2025-02-14,CTI-IOA
47.76.219.122,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",4443,Hong Kong,Alibaba Cloud - HK,"Alibaba (US) Technology Co., Ltd.",,2025-02-14,2025-02-14,CTI-IOA
8.134.212.158,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,Aliyun Computing Co.LTD,"Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
120.26.166.249,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
39.100.82.221,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
14.103.51.225,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",8089,China,"Beijing Volcano Engine Technology Co., Ltd.",China Telecom (Group),,2025-02-14,2025-02-14,CTI-IOA
156.224.19.17,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Hong Kong,Arosscloud INC,Gcc Cloud Technology Limited,,2025-02-14,2025-02-14,CTI-IOA
106.12.116.136,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Beijing Baidu Netcom Science and Technology Co., Ltd.","Beijing Baidu Netcom Science and Technology Co., Ltd.",,2025-02-14,2025-02-14,CTI-IOA
148.66.22.194,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Hong Kong,SIMCENTRIC-HK NETBLOCK,Netsec Limited,,2025-02-14,2025-02-14,CTI-IOA
148.66.22.196,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Hong Kong,SIMCENTRIC-HK NETBLOCK,Netsec Limited,,2025-02-14,2025-02-14,CTI-IOA
82.156.188.16,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
20.119.80.107,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United States,Microsoft Corporation,Microsoft Corporation,,2025-02-14,2025-02-14,CTI-IOA
39.99.239.113,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
148.66.22.197,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Hong Kong,SIMCENTRIC-HK NETBLOCK,Netsec Limited,,2025-02-14,2025-02-14,CTI-IOA
121.40.19.66,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",7070,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
185.3.45.6,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Luxembourg,Telindus SAGS,Proximus Luxembourg S.A.,sagsns1.telindustelecom.lu,2025-02-14,2025-02-14,CTI-IOA
106.75.62.120,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",8443,China,Shanghai UCloud Information Technology Company Limited,"IDC, China Telecommunications Corporation",del4iwgi.cn,2025-02-14,2025-02-14,CTI-IOA
82.156.145.11,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
5.180.30.214,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United Kingdom,STARK INDUSTRIES SOLUTIONS LTD.,STARK INDUSTRIES SOLUTIONS LTD,vm3621619.stark-industries.solutions,2025-02-14,2025-02-14,CTI-IOA
103.234.72.28,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",9001,Hong Kong,Asia Pacific Network Information Centre,Gigabitbank Global,,2025-02-14,2025-02-14,CTI-IOA
23.170.40.94,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United States,"Cloud Source, Inc.","Cloud Source, Inc.",,2025-02-14,2025-02-14,CTI-IOA
47.239.236.221,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",4433,Hong Kong,Alibaba Cloud LLC,"Alibaba (US) Technology Co., Ltd.",,2025-02-14,2025-02-14,CTI-IOA
39.109.117.51,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Hong Kong,YISU CLOUD LTD,YISU CLOUD LTD,,2025-02-14,2025-02-14,CTI-IOA
113.45.198.61,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-113-45-198-61.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
38.134.148.115,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,United States,UltaHost,Cogent Communications,,2025-02-14,2025-02-14,CTI-IOA
120.78.7.92,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",8443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
18.141.144.180,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Singapore,Amazon Technologies Inc.,"Amazon.com, Inc.",ec2-18-141-144-180.ap-southeast-1.compute.amazonaws.com,2025-02-14,2025-02-14,CTI-IOA
111.231.22.61,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
120.53.222.93,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",55322,China,Shandong Servsd Technology Co. Ltd.,Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
193.57.57.121,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",9443,Malaysia,Evoxt Enterprise,Evoxt Enterprise,,2025-02-14,2025-02-14,CTI-IOA
103.136.150.182,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,Hong Kong,Xdeer Limited,Baxet Group Inc.,,2025-02-14,2025-02-14,CTI-IOA
49.232.90.121,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
123.57.250.23,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
8.140.239.162,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,Aliyun Computing Co.LTD,"Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
116.205.98.214,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-116-205-98-214.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
47.120.25.38,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
101.43.39.58,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
47.76.249.169,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,Hong Kong,Alibaba Cloud - HK,"Alibaba (US) Technology Co., Ltd.",,2025-02-14,2025-02-14,CTI-IOA
47.111.146.110,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
120.46.208.63,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-120-46-208-63.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
121.40.55.28,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
209.141.54.131,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,United States,FranTech Solutions,FranTech Solutions,slice-lv.ps-ef.net,2025-02-14,2025-02-14,CTI-IOA
47.109.77.180,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
82.156.108.180,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
123.60.52.128,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-123-60-52-128.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
106.54.199.174,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
154.44.28.49,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,Hong Kong,NetLab,NetLab Global,,2025-02-14,2025-02-14,CTI-IOA
121.43.131.0,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
156.224.19.17,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,Hong Kong,Arosscloud INC,Gcc Cloud Technology Limited,,2025-02-14,2025-02-14,CTI-IOA
101.35.235.124,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
103.24.179.18,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Shenzhen ESIN Technology Co., Ltd",China Telecom (Group),,2025-02-14,2025-02-14,CTI-IOA
121.43.227.196,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
114.132.252.93,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
111.230.62.154,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
101.43.42.134,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
121.40.112.176,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
47.115.54.19,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
47.96.13.97,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
107.174.67.215,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,United States,HostPapa,HostPapa,107-174-67-215-host.colocrossing.com,2025-02-14,2025-02-14,CTI-IOA
111.229.110.232,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
121.36.222.101,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-121-36-222-101.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
114.55.100.165,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
60.188.59.126,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,CHINANET-ZJ Taizhou node network,CT-HangZhou-IDC,,2025-02-14,2025-02-14,CTI-IOA
152.67.212.187,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,"Korea, Republic of",Oracle Public Cloud,Oracle Corporation,,2025-02-14,2025-02-14,CTI-IOA
118.24.121.59,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
39.98.48.153,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
124.221.100.215,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,,2025-02-14,2025-02-14,CTI-IOA
8.134.212.158,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,Aliyun Computing Co.LTD,"Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
94.156.167.138,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,Netherlands,CHEAPY.HOST,cheapy.host LLC,,2025-02-14,2025-02-14,CTI-IOA
47.116.178.66,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",,2025-02-14,2025-02-14,CTI-IOA
121.36.93.103,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",50050,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,ecs-121-36-93-103.compute.hwclouds-dns.com,2025-02-14,2025-02-14,CTI-IOA
